Vivado Simulator 2015.2
Time resolution is 1 ps
sign=x, exp_biased=xxxxxxxx, sum=xxxxxxxxxxxxxxxxxxxxxxx
sign=0, exp_biased=00000000, sum=11101000000000000000000
sign=0, exp_biased=10000010, sum=10100000000000000000000
sign=1, exp_biased=10000010, sum=01000000000000000000000
sign=0, exp_biased=10000001, sum=00000000000000000000000
sign=1, exp_biased=10000001, sum=00000000000000000000000
sign=0, exp_biased=10000000, sum=00000000000000000000000
sign=0, exp_biased=00000000, sum=00000000000000000000000
sign=1, exp_biased=10000011, sum=10100000000000000000000
sign=1, exp_biased=10000101, sum=00111100000000000000000
sign=0, exp_biased=00000000, sum=10000000000000000000000
sign=0, exp_biased=00000000, sum=00000000000000000000000
sign=1, exp_biased=10000110, sum=00001000000000000000000
sign=0, exp_biased=00000000, sum=01100110011001100110100
sign=0, exp_biased=00000000, sum=01100110011001100110011
sign=1, exp_biased=10000000, sum=00000000000000000000000
sign=0, exp_biased=10000010, sum=10010000000000000000000
